site_spp,A(const),E(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Pleaf,Tleaf
Richmond_Eucalyptus_cladocalyx,1.8309443530670448,0.08932818000135015,4.64,9.249980183768589,18.809165568564133,-0.6436986569795161,True,-0.6,999.0,17.61,0.758,102.3,38.7122295,77,9.91666666666667,25.425,3.3325,29.1309375,0.4885,4.64,-1.8,19.065
Richmond_Eucalyptus_cladocalyx,1.8212948593460463,0.09372103935213964,4.64,9.174745287467497,18.65471733326568,-0.6436986569795161,True,-0.6,999.0,17.4625,0.80525,102.3,38.48171513,77,9.98333333333333,26.775,3.48,28.2190125,0.4795,4.64,-1.2,18.8025
Richmond_Eucalyptus_cladocalyx,1.8383060394509398,0.10346338979410503,4.64,9.30703736189216,18.912551240371045,-0.8924423755724809,True,-0.85,999.0,17.7325,0.9055,102.4,38.91665269,77,10.1333333333333,20.95,2.67,27.07910625,0.31625,4.64,-1.6,19.5475
Richmond_Eucalyptus_cladocalyx,1.8177668762084207,0.096825463901836,4.64,9.323227661547305,19.092793327497013,-0.8924423755724809,True,-0.85,999.0,17.9025,0.8345,102.4,38.60203856,77,10.2,27.45,3.44,27.5604,0.455,4.64,-1.8,19.67
Richmond_Eucalyptus_cladocalyx,1.8409661576254428,0.09857653103029324,4.64,9.286988925573985,18.837824459350106,-0.5442011695423301,True,-0.5,1000.0,17.65,0.855,102.4,38.93945081,77,10.3666666666667,21.4,3.0725,29.00428125,0.39175,4.64,-1.6,19.41
Richmond_Eucalyptus_cladocalyx,1.8195610306415144,0.10205774461793247,4.64,9.634998178084725,19.943589484693614,-0.5442011695423301,True,-0.5,1001.0,18.7525,0.8805,102.4,38.94274388,77,10.4333333333333,19.7,3.2225,29.890875,0.39925,4.64,-1.3,19.63
Richmond_Eucalyptus_cladocalyx,1.716891947855247,0.17733626992473786,4.64,11.172377037093453,24.38713461093421,-0.6436986569795161,True,-0.6,1800.75,22.1275,1.4275,102.3,38.80038225,77,11.783333333333301,21.85,4.9975,28.04169375,0.378,4.64,-3.25,24.6325
Richmond_Eucalyptus_cladocalyx,1.6856344599033737,0.18996789534314495,4.64,11.470104159222693,25.17285114236124,-0.6436986569795161,True,-0.6,1799.25,22.925,1.5425,102.3,38.59519912,77,11.8666666666667,27.55,6.0325,26.4964875,0.42625,4.64,-3.3,25.4575
Richmond_Eucalyptus_cladocalyx,1.6651953590475108,0.1964388765849736,4.64,11.681666678107307,25.709202376032554,-0.8924423755724809,True,-0.85,1800.75,23.4625,1.5975,102.3,38.47791544,77,12.016666666666698,26.15,5.185,24.69796875,0.34725,4.64,-2.9,26.15
Richmond_Eucalyptus_cladocalyx,1.654405689546505,0.18339636328008252,4.64,11.765325025472126,25.93143539408989,-0.8924423755724809,True,-0.85,1802.0,23.6625,1.455,102.3,38.3879895,77,12.1,30.6,6.02,25.7872125,0.45325,4.64,-2.8,25.65
